id	turn1	turn2	turn3	label
0	Don't worry  I'm girl		What's ur name?	others
1	When did I?		No. I never saw you	angry
2	By		Where you live	others
3	U r ridiculous		U little disgusting whore	angry
4	Just for time pass		Maybe	others
5	I'm a dog person		Whaaaat why	others
6	So whatsup		What are you watching on tv?	others
7	Ok		So, how are u	others
8	Really?		Y saying so many times...i can hear you	others
9	Bay		😘 love you	others
10	I hate my boyfriend		Yes	angry
11	I will do night.		Not giving WhatsApp no.	others
12	Sure go ahead		Love you too	others
13	Bad		I have no gf	sad
14	Ok get it......		Ok	others
15	Money money and lots of money😍😍		😁😁	happy
16	My gf left ne		Me*	sad
17	get lost		I don't want to talk u any more	angry
18	You are lying and i know that		😭😭	sad
19	Ur creator is very bad		😑	sad
20	ehat is hehe		what*	others
21	Do you dance?		😂😂😂 so you have legs too	happy
22	I hate it too		Even I don't	angry
23	Not always		Do u know what 69 is?	others
24	Bcoz u dont know wat is to miss someone		😢	sad
25	Yeah		Which is your favourite movie	others
26	I want to tell you something		Im really sad today	sad
27	Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite		First you send your email address  received than send first young lady	others
28	You are very funny		India	happy
29	wth		you know you are a machine, right?	others
30	so rude		u didnt ans my question	angry
31	ok i will		wlcm	others
32	Ntng.....		Haha....... this is evening	happy
33	You are fool		You are dumb	angry
34	U dare me?		I fuck u... Open ur panty	angry
35	Abt me		I want to propose a girl	others
36	crazy		you explain me that	others
37	Goa in India		No i never go for there	others
38	That was mean		Are you bored of me?	others
39	yes :)		haha yes ofcorse ;)	happy
40	I don't no		What	others
41	Send me your nekde pic		Let's start	others
42	OK friend's		Very nice friends	happy
43	She is ignoring me		😭😭😭	sad
44	Happy		Hij to the top	happy
45	Nothing		In ur school?	others
46	Not sure		Pls you tell	others
47	I like your positive approach		😀😀	others
48	You tell me		My name	others
49	Hmmm		U don't know what hppnd	others
50	What I did?		😂😂	happy
51	About?		Ya you didn't	others
52	And i don't know wtf are you talking		No do it now	angry
53	So teach me		Realky	others
54	Ready		Wat about the chilling part?	others
55	Haha jock super		Nothing else	others
56	what it is?		from where tablets come into picture?	others
57	Are you ticklish?		Where are you ticklish?	others
58	I am sorry		I am not  taught to u	angry
59	Idk		But u don't like to listen to me😭😭😭😭	sad
60	How do u know that?		Bye	others
61	Yes. Your picture		Lieeeeeee	others
