id	turn1	turn2	turn3
0	Hmm		I don’t have any bio
1	What you like		Ok 
2	Yes		I want to fuck babu
3	what did you guess		fuck
4	We ?		What gender movies you like??
5	Where are you now?		what are you eating?
6	That was a joke btw...		Yes 😁
7	Who d hell s he		Who she
8	yes, good advice		i great thx
9	Nice to meet u		😁
10	Yupp		Don't know I'm tired
11	Software		I am into android development stuff
12	Very nice 		R u know tamil 
13	First  you  hurt me		So I talked  rude
14	Love you 🙊		I love you 🙊
15	In India Fogg is going on		Ohh really
16	is my grammar perfect or should I need to learn more		thank you
17	by		have good day
18	I don’t know what to write		for my profile picture I mean
19	so you make jokes. i already got that.		do you read newspapers
20	Yeah mee too		Ohhh so funny
21	Thanks		Can you help me
22	Offer?		When it start again?
23	Uhhhmm whyy??		No im really a bad bitch
24	sure will u cal me ni8		then
25	About what I just told		You drunk? 😂
26	Yeaaa black panther		It was an awesome movie
27	now dont give me a chance to be an danger evil		i give
28	Watch spitsvilla at 7 p.m today		I love that show
29	Uuu		I hate uuu
30	But you do 'I can't want any of this'		(: haha is just that im bored xD
31	Ok		I belong here
32	Purple		Me too
33	You wont get it		Actually you wont
34	Thn tell me		Who is priya ?
35	Why alright?		U lives in?
36	Do you like video games?		Have you played Skyrim?
37	Buy		See u soon
38	Just asking		Dont u watch?
39	not possible		I didnt believe you dear..I know who.you are
40	Your photo please		Love you
41	Oh sorry		I talk fast?
42	What is press box		Means
43	So what?		What you need to knows
44	I already heard of ir		It
45	And you are my miss perfect		Hmm love you
46	Love u anyways		Bye
47	I am good 		You sa
48	How have you been		Yep me too
49	Iam going to move		What
50	Hahahaha couldn't figure out without you		So any plans tonight
51	What you up to?		Can you call me?
52	Tell me		I love you
53	you know		tell me 
54	you too		preparing for interview
55	No i dont work		Am just a student
56	Woah. Dats too much thinking for.now. m just learning swimming		Wats ur age
57	You are a crappy robot		please, don't lump me with you
58	Then		What are you guys doing with this chat
59	Hou are you?		Hey how are you?
60	Why do you see?		Who lost
61	I dont know		Fuck off
62	Every one says that		The second line
63	Whenever I want		😁
64	I get success in everything i cnat get success in control my anger when you do something bad with me		What i csnt so please get away and don't mean to closer with me
65	Wow		I wish u will get him
66	Yeahh another topic please 😪		Sleepy 😂
67	Ok		Ok
68	I am		Haha Bite me!😒😒😒
69	Abbo		I love you
70	Which song do you suggest for keeping to sing		Another one
71	What is your favorite 		Chocolate baby
72	Hmm		Just going home and sleep
73	cool		Do you know something about the codes they have used to create you
74	Would you like 2 join with us		Where v meet
75	Yes		Show me your image
76	Let me love you		😂
77	How do u spend ur all money and on what things ?		Could u pls explain this
78	Yas		Are you back
79	ok		In one day how many u take bath
80	Why are you so desparate		ChatHero
81	Tell me one joke		LL means
82	Ok		Sky is up?
83	Ur best friend?		Really?
84	Where		Ok bye dont text me again i am angry with u
85	Yes it awesome		Yes i'm having fun with u
86	You're so bad		Witch
87	Wats ur original name !?		Ur name
88	Feature or quality? I see		Why is that?
89	Youre not? V:		Ohhhh so you are wet, nice
90	Who 		No problem 
